core 0,core 0,core 0,core 1,core 1,core 1,core 2,core 2,core 2,core 3,core 3,core 3,core 4,core 4,core 4,core 5,core 5,core 5,core 6,core 6,core 6,
Time Between Bursts, Time to Process Burst, Burst Size,Time Between Bursts, Time to Process Burst, Burst Size,Time Between Bursts, Time to Process Burst, Burst Size,Time Between Bursts, Time to Process Burst, Burst Size,Time Between Bursts, Time to Process Burst, Burst Size,Time Between Bursts, Time to Process Burst, Burst Size,Time Between Bursts, Time to Process Burst, Burst Size,
1411,1244,16,879,1141,15,1041,1843,21,1069,1075,13,943,2419,28,1030,1486,17,517,1221,12,
1702,1526,21,613,738,8,641,748,11,1279,1329,14,1724,3516,27,539,269,2,1340,1464,20,
1246,1572,18,985,1302,16,1119,1394,19,888,1223,16,894,2131,23,579,1505,16,806,1206,14,
1442,1309,19,654,797,11,1067,1677,16,811,1414,16,946,3115,30,605,1112,13,1575,1903,21,
1832,1484,21,578,614,9,860,1118,13,482,331,4,1451,3127,29,709,1040,11,1442,2138,22,
629,1345,13,1562,1310,17,631,713,9,1081,1573,17,1500,2333,31,621,922,12,1065,1958,22,
703,1534,11,1247,1711,16,653,1199,15,945,1310,15,1322,2443,24,684,931,9,1544,1881,22,
775,1790,17,823,1856,15,916,1100,14,752,1073,12,588,1241,11,512,645,8,689,843,9,
1325,2156,20,933,2178,19,569,998,10,1181,1685,19,770,1563,16,1673,1949,22,701,1334,14,
1105,2554,23,1150,2568,21,1833,1398,19,839,1033,12,1153,1707,23,918,1491,16,569,1146,12,
1250,1932,23,935,3221,24,671,1087,11,1202,1926,21,1085,1783,20,576,697,8,639,1214,16,
1253,2017,22,1223,3093,29,1252,1748,19,706,737,9,756,1387,16,680,1505,17,1272,1708,21,
1116,2568,23,1187,3602,28,839,1248,16,542,1259,14,447,184,3,583,1037,12,1488,1921,22,
788,1591,19,929,2804,30,1651,2000,22,765,766,11,857,1186,16,1004,1558,17,767,1679,18,
1019,2198,21,1488,3252,31,762,880,12,699,1411,15,861,941,13,958,1772,18,1369,1853,22,
897,2341,19,834,2057,17,605,1384,15,859,1141,13,1403,1365,15,883,1830,19,1038,1538,20,
809,1567,13,1145,2297,30,950,1507,18,2336,2529,27,491,105,1,1065,1611,19,716,847,11,
1324,2068,26,1878,2747,28,869,621,8,924,2113,23,467,1096,14,686,1346,14,1196,1315,17,
1470,2548,26,941,2091,21,963,1872,19,959,1685,20,1544,1782,19,579,1157,12,956,936,10,
769,1814,21,1291,1928,25,669,828,9,712,964,10,706,1269,14,757,1180,14,759,1082,13,
867,835,9,873,1129,13,1781,2343,26,502,1288,13,1044,1221,15,764,1093,10,671,1578,14,
919,1518,20,623,946,13,1104,1589,21,722,1434,15,945,1259,16,932,1236,16,928,893,11,
1094,1428,18,587,879,11,1394,1749,23,769,872,10,1364,1599,19,1621,1845,21,733,808,12,
699,633,8,737,1207,15,1044,1422,18,648,996,14,777,1167,14,999,1479,17,925,1206,15,
783,958,12,946,983,12,757,1124,13,595,1238,13,1206,1715,19,1531,2128,24,730,1178,16,
1820,1349,20,583,1108,11,1507,1750,20,720,1129,13,687,597,9,1026,2007,22,585,783,9,
1221,1639,18,1125,1240,15,916,1058,11,753,1476,17,687,1407,17,607,1417,17,2197,1716,22,
518,466,5,472,106,1,949,1735,21,2439,2168,27,1062,1074,15,804,1384,17,664,745,11,
539,1220,15,544,999,13,1041,1899,20,1229,1910,22,561,1066,12,832,948,11,1157,1404,17,
620,1019,11,608,819,9,1197,1766,22,911,1563,20,1473,1554,17,713,705,10,649,1459,15,
811,815,11,1349,1366,16,1099,1391,19,1329,1493,18,1315,1977,20,1516,1589,15,1521,1513,19,
1693,1710,20,741,950,13,861,733,9,530,292,4,778,1874,19,500,282,2,620,1096,12,
1860,1984,23,1141,1576,16,1279,1424,19,420,1379,13,1264,1657,20,426,1286,15,592,1161,13,
1296,1655,22,1270,1611,20,639,114,1,615,952,13,702,1118,13,850,1043,15,547,1316,11,
753,1402,16,1431,1321,17,500,1272,12,957,1110,15,770,1480,17,855,598,7,549,1008,7,
1389,1909,21,1119,1896,22,974,1168,15,1013,1671,14,604,957,10,825,604,9,814,1625,14,
727,1211,10,1145,1484,18,700,1570,13,989,1752,18,1341,1315,17,625,1087,15,930,2231,19,
763,1150,11,825,976,15,850,1458,14,746,903,14,703,882,11,703,832,10,811,2721,20,
1103,2054,25,1228,1643,17,626,867,13,1554,1266,18,602,1093,14,1233,1155,16,1661,3482,29,
918,1605,20,847,1558,18,1306,910,14,845,818,13,727,1164,14,2448,1959,27,1050,2926,29,
861,1342,15,797,1265,14,1398,1037,16,814,804,10,973,1235,14,1325,1816,20,1559,4095,32,
923,1581,18,677,1221,13,667,687,8,684,1001,14,1679,1747,21,867,1042,14,717,3329,31,
596,1010,10,780,1081,11,1702,1549,23,413,99,1,1187,1760,21,656,691,10,1205,3447,30,
1002,1629,19,659,981,12,572,886,12,450,732,10,980,1384,19,1592,1672,21,1472,2498,30,
941,1123,15,579,815,10,1283,1070,16,1680,1275,17,1252,1251,15,1094,2113,16,1544,3093,30,
1241,1102,14,576,1086,13,783,700,8,2203,1964,23,742,968,13,637,954,10,830,2070,23,
780,739,7,1270,1182,14,985,1382,15,685,862,11,912,682,7,822,2412,19,911,1787,22,
485,1094,12,1166,1139,13,777,877,11,1035,717,11,636,1150,14,1274,3095,25,764,995,11,
713,675,10,871,1580,20,1189,1285,17,960,1562,20,845,1121,14,696,2187,18,782,1251,15,
1187,1823,20,937,1668,17,810,1019,13,1716,2596,20,1396,1055,16,945,1701,17,767,1266,16,
22388,2866,29,515,480,7,590,736,8,990,2674,23,1441,1144,15,1218,3504,29,660,909,11,
689,956,11,318,1033,11,803,1624,12,973,2824,24,1087,1278,17,1005,3228,28,683,474,7,
839,1312,16,1206,1627,18,975,2033,17,1461,3470,29,1189,1197,17,1122,3140,30,648,1496,14,
658,2547,17,756,1506,17,677,2061,17,1395,3752,32,1094,1183,17,1193,3299,29,818,725,9,
687,1229,11,935,1524,16,1228,3007,23,1006,3778,26,1040,1067,14,1103,2301,29,1183,1356,17,
935,1961,26,1236,1372,19,1665,3477,30,1256,2977,30,1066,1299,15,1607,3121,30,793,1276,14,
1309,1500,19,1187,1188,16,1054,3644,31,1280,3781,31,437,192,3,1039,2249,23,1269,1796,19,
689,1510,15,843,1114,14,1199,2790,23,1112,2616,31,965,1017,14,1408,2153,27,520,908,12,
1131,1662,19,1064,1278,14,995,3488,32,1160,2949,30,1711,1525,20,1708,2055,25,1079,1332,16,
528,697,11,1365,1015,14,1141,3584,31,775,1985,20,1436,2114,19,664,783,8,906,1226,15,
1842,1111,16,1298,1181,17,1138,2651,32,1191,2654,29,690,1691,14,882,1696,21,523,431,4,
1122,1459,19,743,1089,12,1553,3531,30,1077,2076,24,939,2250,20,762,928,10,655,1368,15,
476,160,2,506,1015,14,832,1844,20,776,1294,17,1481,3125,25,827,1566,16,914,1640,16,
347,1027,14,1743,1183,16,1038,1871,25,674,1320,16,758,1595,14,597,1099,14,844,951,12,
